"Lap","Time","Gap to lead","Average KPH","Pos","Tyre (%)","Fuel (L)"
"START","Medium tyres","",""
"1","1:53.566","+ 0:03.016","149.81","5","-","-"
"2","1:49.338","+ 0:03.696","155.61","5","-","-"
"3","1:48.615","+ 0:05.780","156.64","5","-","-"
"4","1:48.268","+ 0:08.079","157.14","5","-","-"
"5","1:47.841","+ 0:10.510","157.77","5","-","-"
"6","1:47.261","+ 0:12.576","158.62","5","-","-"
"7","1:47.044","+ 0:15.286","158.94","5","-","-"
"8","1:46.528","+ 0:18.140","159.71","5","-","-"
"9","1:47.057","+ 0:20.948","158.92","5","-","-"
"10","1:47.666","+ 0:24.289","158.02","5","-","-"
"11","1:47.145","+ 0:11.883","158.79","5","-","-"
"12","1:47.258","+ 0:12.672","158.62","3","-","-"
"13","1:46.068","+ 0:13.734","160.40","3","-","-"
"14","1:45.348","+ 0:14.404","161.50","3","-","-"
"15","2:00.378","+ 0:28.956","141.33","4","-","-"
"PIT","3 seconds / Hard tyres","",""
"16","1:53.302","+ 0:40.060","150.16","5","-","-"
"17","1:43.438","+ 0:41.642","164.48","5","-","-"
"18","1:43.046","+ 0:42.575","165.11","5","-","-"
"19","1:42.479","+ 0:43.576","166.02","5","-","-"
"20","1:42.498","+ 0:44.996","165.99","5","-","-"
"21","1:42.694","+ 0:46.725","165.67","5","-","-"
"22","1:43.075","+ 0:49.444","165.06","5","-","-"
"23","1:42.865","+ 0:51.593","165.40","5","-","-"
"24","1:41.251","+ 0:52.526","168.03","4","-","-"
"25","1:41.271","+ 0:53.932","168.00","4","-","-"
"26","1:40.631","+ 0:53.931","169.07","4","-","-"
"27","1:41.121","+ 0:40.127","168.25","4","-","-"
"28","1:41.145","+ 0:34.845","168.21","4","-","-"
"29","1:41.014","+ 0:37.437","168.43","4","-","-"
"30","1:41.236","+ 0:40.399","168.06","4","-","-"
"31","1:41.142","+ 0:43.387","168.21","4","-","-"
"32","1:41.458","+ 0:47.239","167.69","3","-","-"
"33","1:41.160","+ 0:50.964","168.19","3","-","-"
"34","1:41.113","+ 0:55.443","168.26","3","-","-"
"35","1:41.146","+ 0:59.223","168.21","3","-","-"
"36","1:41.637","+ 1:03.811","167.40","3","-","-"
"37","1:41.481","+ 1:08.996","167.65","3","-","-"
"38","1:55.565","+ 1:28.491","147.22","5","-","-"
"PIT","3 seconds / Hard tyres","",""
"39","1:45.983","+ 1:38.668","160.53","5","-","-"
"40","1:37.108","+ 1:40.365","175.20","5","-","-"
"41","1:36.928","+ 1:41.504","175.53","5","-","-"
"42","1:37.512","+ 1:43.207","174.48","5","-","-"
"43","1:37.227","+ 1:30.304","174.99","5","-","-"
"44","1:37.376","+ 1:23.725","174.72","5","-","-"
"45","1:37.359","+ 1:26.864","174.75","5","-","-"
"46","1:36.453","+ 1:28.707","176.39","4","-","-"
"47","1:35.949","+ 1:30.416","177.32","4","-","-"
"48","1:35.729","+ 1:32.125","177.73","4","-","-"
"49","1:36.579","+ 1:35.652","176.16","4","-","-"
"50","1:35.716","+ 1:37.220","177.75","4","-","-"
"51","1:36.298","+ 1:39.890","176.68","4","-","-"
"52","1:36.325","+ 1:42.927","176.63","4","-","-"
"53","1:36.289","+ 1:45.948","176.69","4","-","-"
"54","1:36.587","+ 1:50.026","176.15","4","-","-"
"55","1:36.320","+ 1:53.436","176.64","4","-","-"
"56","1:36.437","+ 1:56.715","176.42","4","-","-"
"57","1:36.346","+ 1:59.745","176.59","4","-","-"
"58","1:35.468","+ 2:02.131","178.21","4","-","-"